class_n,eng,jpn,math,eng*,jpn*,math*,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
1,57,52,23,58,51,82,,,,,,57,23,52,68,102,52,74,74,66,58,51,82
1,76,64,85,77,63,76,,,,,,76,85,64,57,42,65,54,111,47,77,63,76
1,68,69,55,55,30,75,,,,,,68,55,69,60,49,26,56,49,44,55,30,75
1,100,100,60,49,31,54,,,,,,102,60,111,39,51,25,34,24,-4,49,31,54
1,54,64,65,57,100,81,,,,,,54,65,64,65,28,34,50,37,32,57,106,81
1,36,17,100,100,53,43,,,,,,36,102,17,31,105,26,80,45,51,109,53,43
1,45,70,35,40,69,69,,,,,,45,35,70,54,76,45,51,29,27,40,69,69
1,41,60,100,61,56,52,,,,,,41,104,60,55,47,38,-6,80,-7,61,56,52
1,42,36,87,42,22,83,,,,,,42,87,36,75,53,85,85,41,44,42,22,83
1,71,100,82,65,52,100,,,,,,71,82,103,84,97,63,56,89,43,65,52,123
1,61,67,60,35,37,100,,,,,,61,60,67,96,55,73,69,86,57,35,37,114
1,62,62,59,83,94,53,,,,,,62,59,62,51,45,38,42,58,29,83,94,53
1,91,97,71,72,81,55,,,,,,91,71,97,62,44,43,55,86,34,72,81,55
1,65,58,77,61,83,100,,,,,,65,77,58,84,68,67,71,95,59,61,83,101
1,69,94,51,68,49,66,,,,,,69,51,94,54,64,46,45,87,16,68,49,66
1,78,97,62,57,100,69,,,,,,78,62,97,55,31,22,78,73,82,57,100,69
1,26,28,55,56,51,54,,,,,,26,55,28,54,56,46,63,44,39,56,51,54
1,65,67,63,61,89,65,,,,,,65,63,67,50,50,35,75,51,47,61,89,65
1,56,17,53,50,65,100,,,,,,56,53,17,86,54,59,108,54,79,50,65,109
1,40,59,38,58,49,81,,,,,,40,38,59,69,88,29,67,52,50,58,49,81
1,60,100,76,95,50,76,,,,,,60,76,102,76,65,52,39,72,29,95,50,76
1,88,89,89,63,44,89,,,,,,88,89,89,78,76,89,68,57,53,63,44,89
1,34,7,88,50,38,66,,,,,,34,88,7,62,65,47,72,77,57,50,38,66
1,99,100,53,91,28,89,,,,,,99,53,132,76,63,77,78,54,60,91,28,89
1,84,82,78,80,67,64,,,,,,84,78,82,51,30,34,68,74,41,80,67,64
1,80,100,83,42,28,96,,,,,,80,83,116,77,60,58,73,48,44,42,28,96
1,36,50,79,69,40,54,,,,,,36,79,50,38,73,26,46,55,40,69,40,54
1,56,62,47,68,100,100,,,,,,56,47,62,83,40,61,39,46,13,68,108,113
1,87,100,47,80,79,45,,,,,,87,47,100,41,100,28,16,41,-5,80,79,45
1,59,45,45,42,74,76,,,,,,59,45,45,48,49,40,61,78,41,42,74,76
1,64,59,19,91,56,70,,,,,,64,19,59,74,97,54,36,73,16,91,56,70
1,30,33,93,55,79,57,,,,,,30,93,33,41,64,25,88,98,75,55,79,57
1,78,66,51,90,88,46,,,,,,78,51,66,25,92,2,77,37,59,90,88,46
1,92,98,73,35,61,97,,,,,,92,73,98,69,62,35,24,78,14,35,61,97
1,56,31,39,98,42,57,,,,,,56,39,31,48,60,23,92,85,43,98,42,57
1,63,71,77,72,37,55,,,,,,63,77,71,34,47,20,43,101,34,72,37,55
1,37,8,56,77,87,80,,,,,,37,56,8,61,41,30,39,60,16,77,87,80
1,41,47,60,68,46,100,,,,,,41,60,47,106,34,79,53,57,33,68,46,117
1,48,66,82,97,34,87,,,,,,48,82,66,62,47,50,99,77,34,97,34,87
1,51,39,93,68,61,100,,,,,,51,93,39,87,35,63,56,52,34,68,61,121
1,70,100,66,92,71,100,,,,,,70,66,101,80,67,75,73,57,65,92,71,100
1,59,81,84,61,47,100,,,,,,59,84,81,96,50,79,62,19,39,61,47,118
1,42,60,59,84,49,88,,,,,,42,59,60,71,13,60,57,83,35,84,49,88
1,55,57,30,63,40,65,,,,,,55,30,57,55,41,23,52,40,34,63,40,65
1,55,45,61,52,51,41,,,,,,55,61,45,31,36,-2,106,28,54,52,51,41
1,69,49,58,62,63,91,,,,,,69,58,49,71,95,31,100,76,72,62,63,91
1,53,47,34,70,78,84,,,,,,53,34,47,82,51,47,90,77,50,70,78,84
1,57,32,84,59,63,76,,,,,,57,84,32,60,76,38,49,87,35,59,63,76
1,76,80,80,62,29,82,,,,,,76,80,80,65,43,53,71,27,39,62,29,82
1,72,62,73,45,69,77,,,,,,72,73,62,55,59,40,35,64,20,45,69,77
1,83,78,66,41,54,65,,,,,,83,66,78,42,72,31,29,42,9,41,54,65
1,47,38,65,96,67,59,,,,,,47,65,38,34,94,21,34,74,22,96,67,59
1,54,81,80,41,48,77,,,,,,54,80,81,57,98,29,68,46,38,41,48,77
1,47,47,67,23,71,47,,,,,,47,67,47,17,91,1,58,63,31,23,71,47
1,37,55,38,62,92,68,,,,,,37,38,55,41,26,24,67,61,53,62,92,68
1,97,99,27,66,63,80,,,,,,97,27,99,61,15,52,66,55,41,66,63,80
1,99,80,29,54,53,74,,,,,,99,29,80,35,94,14,61,71,44,54,53,74
1,74,65,64,83,100,100,,,,,,74,64,65,81,38,57,89,34,55,83,119,100
1,60,50,83,57,85,70,,,,,,60,83,50,56,27,49,29,72,7,57,85,70
1,25,54,87,43,41,95,,,,,,25,87,54,85,63,69,83,58,61,43,41,95
1,91,100,11,66,26,58,,,,,,91,11,114,41,61,30,44,31,30,66,26,58
1,69,33,71,49,93,81,,,,,,69,71,33,59,67,48,83,44,42,49,93,81
1,58,75,81,52,35,100,,,,,,58,81,75,64,87,54,90,60,81,52,35,101
1,49,38,62,93,55,55,,,,,,49,62,38,24,57,12,101,42,63,93,55,55
1,71,87,63,68,75,100,,,,,,71,63,87,105,58,78,46,26,25,68,75,110
1,53,45,67,94,75,61,,,,,,53,67,45,57,33,36,82,80,67,94,75,61
1,57,50,87,93,61,77,,,,,,57,87,50,83,12,67,42,65,31,93,61,77
1,76,78,95,96,67,73,,,,,,76,95,78,69,63,54,54,67,35,96,67,73
1,31,33,62,91,77,91,,,,,,31,62,33,61,62,55,59,68,35,91,77,91
1,70,86,79,77,62,100,,,,,,70,79,86,123,46,89,62,15,37,77,62,107
1,56,51,59,92,68,88,,,,,,56,59,51,65,89,47,63,99,38,92,68,88
1,48,48,59,70,64,80,,,,,,48,59,48,68,52,38,74,56,47,70,64,80
1,62,65,60,83,33,59,,,,,,62,60,65,49,70,43,82,67,53,83,33,59
1,63,13,56,37,46,56,,,,,,63,56,13,39,40,4,43,38,30,37,46,56
1,86,100,71,100,59,62,,,,,,86,71,104,45,57,30,84,42,43,110,59,62
1,49,22,52,68,56,92,,,,,,49,52,22,82,73,52,97,42,83,68,56,92
1,70,76,91,100,81,66,,,,,,70,91,76,55,33,42,82,51,61,114,81,66
1,46,34,72,85,4,89,,,,,,46,72,34,66,54,48,47,68,40,85,4,89
1,49,49,80,73,67,69,,,,,,49,80,49,72,77,58,62,54,30,73,67,69
1,48,77,86,51,50,34,,,,,,48,86,77,8,67,6,84,92,51,51,50,34
1,91,100,37,92,51,75,,,,,,91,37,124,66,63,46,63,74,48,92,51,75
1,43,34,72,49,42,60,,,,,,43,72,34,50,33,42,66,56,50,49,42,60
1,60,83,71,33,48,83,,,,,,60,71,83,53,27,31,71,62,37,33,48,83
1,92,94,49,88,44,59,,,,,,92,49,94,47,48,26,63,29,46,88,44,59
1,48,49,58,86,60,61,,,,,,48,58,49,58,49,39,64,71,35,86,60,61
1,56,57,55,45,68,48,,,,,,56,55,57,30,62,12,82,56,69,45,68,48
1,61,89,70,67,88,78,,,,,,61,70,89,65,57,33,64,65,40,67,88,78
1,82,100,42,78,98,64,,,,,,82,42,105,48,96,37,53,39,42,78,98,64
1,38,28,89,65,72,77,,,,,,38,89,28,65,80,48,71,93,54,65,72,77
1,69,75,68,91,46,50,,,,,,69,68,75,33,100,21,55,69,35,91,46,50
1,70,91,69,47,100,69,,,,,,70,69,91,61,51,38,82,70,75,47,104,69
1,53,62,42,62,90,83,,,,,,53,42,62,61,58,50,61,57,38,62,90,83
1,33,33,79,51,47,100,,,,,,33,79,33,84,78,59,30,55,14,51,47,101
1,47,28,67,81,47,70,,,,,,47,67,28,51,49,19,41,60,18,81,47,70
1,43,54,58,49,66,74,,,,,,43,58,54,54,64,48,86,73,40,49,66,74
1,60,61,57,51,65,83,,,,,,60,57,61,55,83,30,33,34,32,51,65,83
1,61,62,100,42,73,61,,,,,,61,111,62,52,77,34,66,57,67,42,73,61
1,46,48,24,53,97,70,,,,,,46,24,48,45,6,31,75,57,36,53,97,70
1,40,28,44,61,79,100,,,,,,40,44,28,77,83,42,35,40,-6,61,79,111
1,32,47,56,55,80,72,,,,,,32,56,47,55,72,32,25,78,17,55,80,72
2,68,52,100,,,,,,,,,,,,,,,,,,,,
2,57,65,42,,,,,,,,,,,,,,,,,,,,
2,60,26,49,,,,,,,,,,,,,,,,,,,,
2,39,25,51,,,,,,,,,,,,,,,,,,,,
2,65,34,28,,,,,,,,,,,,,,,,,,,,
2,31,26,100,,,,,,,,,,,,,,,,,,,,
2,54,45,76,,,,,,,,,,,,,,,,,,,,
