class,eng,jpn,math,eng*,jpn*,math*,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
1,60,75,59,75,69,90,,,,,,60,59,75,64,57,39,64,40,35,75,69,90
1,72,86,83,38,81,69,,,,,,72,83,86,66,67,44,56,62,46,38,81,69
1,46,68,63,68,59,47,,,,,,46,63,68,50,61,26,76,22,61,68,59,47
1,32,23,78,60,52,52,,,,,,32,78,23,47,82,25,75,56,57,60,52,52
1,79,71,79,63,51,83,,,,,,79,79,71,83,55,52,68,64,58,63,51,83
1,52,82,56,89,76,73,,,,,,52,56,82,76,27,57,57,56,39,89,76,73
1,61,59,48,91,58,85,,,,,,61,48,59,67,49,42,108,56,68,91,58,85
1,19,22,51,73,49,90,,,,,,19,51,22,71,52,51,31,66,39,73,49,90
1,58,95,89,49,63,82,,,,,,58,89,95,73,50,57,38,109,29,49,63,82
1,80,81,63,82,78,58,,,,,,80,63,81,73,68,64,58,90,50,82,78,58
1,73,100,59,90,84,56,,,,,,73,59,100,48,52,35,104,43,76,90,84,56
1,68,56,53,84,55,72,,,,,,68,53,56,62,73,51,83,46,65,84,55,72
1,33,75,81,27,92,38,,,,,,33,81,75,41,39,16,85,46,67,27,92,38
1,79,82,42,83,49,86,,,,,,79,42,82,59,50,40,49,52,31,83,49,86
1,30,32,41,67,24,83,,,,,,30,41,32,93,49,94,93,55,70,67,24,83
1,42,57,74,83,31,93,,,,,,42,74,57,82,84,54,31,70,9,83,31,93
1,44,64,53,100,49,58,,,,,,44,53,64,53,61,42,80,57,68,101,49,58
1,64,79,67,69,33,100,,,,,,64,67,79,83,75,61,54,46,9,69,33,127
1,58,34,37,61,70,61,,,,,,58,37,34,43,49,29,39,88,5,61,70,61
1,100,100,67,83,39,53,,,,,,112,67,116,45,52,33,60,48,32,83,39,53
1,49,66,74,100,31,55,,,,,,49,74,66,56,90,40,53,71,12,104,31,55
1,81,55,74,41,54,98,,,,,,81,74,55,83,43,70,69,50,50,41,54,98
1,72,98,53,93,44,85,,,,,,72,53,98,70,62,52,80,43,84,93,44,85
1,33,57,70,87,66,100,,,,,,33,70,57,88,43,69,54,48,27,87,66,100
1,51,78,45,68,69,100,,,,,,51,45,78,91,50,55,34,51,5,68,69,108
1,65,100,26,84,57,77,,,,,,65,26,102,44,36,20,52,28,32,84,57,77
1,80,100,35,72,31,88,,,,,,80,35,101,99,22,79,66,60,44,72,31,88
1,52,42,47,71,43,71,,,,,,52,47,42,70,26,53,73,48,58,71,43,71
1,31,14,73,88,100,81,,,,,,31,73,14,55,61,39,63,61,32,88,128,81
1,83,90,26,74,48,100,,,,,,83,26,90,97,74,83,79,71,50,74,48,100
1,89,100,100,16,77,93,,,,,,89,110,125,64,58,38,61,70,25,16,77,93
1,51,40,65,82,59,67,,,,,,51,65,40,53,65,45,76,77,42,82,59,67
1,59,69,71,83,32,85,,,,,,59,71,69,74,77,42,61,102,62,83,32,85
1,46,82,40,66,78,83,,,,,,46,40,82,59,53,42,55,76,40,66,78,83
1,37,42,22,26,57,50,,,,,,37,22,42,41,79,34,66,82,59,26,57,50
1,92,99,67,39,41,100,,,,,,92,67,99,82,79,70,56,40,35,39,41,103
1,38,28,15,57,47,80,,,,,,38,15,28,54,56,30,89,62,54,57,47,80
1,68,46,53,30,45,81,,,,,,68,53,46,80,59,75,39,53,21,30,45,81
