eng_A,jpn_A,math_A,eng_A*,jpn_A*,math_A*,eng_B,jpn_B,math_B,eng_C,jpn_C,math_C,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
40,18,55,61,41,66,49,62,56,55,63,79,,,,,,40,55,18,49,56,62,55,79,63,61,41,66
45,40,44,75,50,54,26,40,53,87,80,58,,,,,,45,44,40,26,53,40,87,58,80,75,50,54
69,79,100,65,22,87,76,80,33,73,80,68,,,,,,69,120,79,76,33,80,73,68,80,65,22,87
50,16,100,44,63,52,67,80,76,22,40,73,,,,,,50,108,16,67,76,80,22,73,40,44,63,52
46,49,51,56,66,67,43,50,56,69,100,73,,,,,,46,51,49,43,56,50,69,73,100,56,66,67
67,80,44,49,66,56,49,50,73,35,60,24,,,,,,67,44,80,49,73,50,35,24,60,49,66,56
52,20,57,68,42,86,68,100,25,78,90,69,,,,,,52,57,20,68,25,100,78,69,90,68,42,86
70,61,46,24,62,51,37,70,76,79,90,86,,,,,,70,46,61,37,76,70,79,86,90,24,62,51
66,37,52,91,41,90,80,100,61,51,60,49,,,,,,66,52,37,80,61,100,51,49,60,91,41,90
56,69,38,60,81,66,61,90,52,80,80,63,,,,,,56,38,69,61,52,90,80,63,80,60,81,66
62,61,73,97,56,86,65,80,79,66,80,35,,,,,,62,73,61,65,79,80,66,35,80,97,56,86
71,61,76,75,66,70,72,90,70,65,60,81,,,,,,71,76,61,72,70,90,65,81,60,75,66,70
27,22,19,71,68,63,42,60,70,35,70,59,,,,,,27,19,22,42,70,60,35,59,70,71,68,63
100,100,45,57,96,100,81,100,50,62,70,26,,,,,,107,45,121,81,50,100,62,26,70,57,96,103
30,44,47,51,80,66,59,90,91,63,80,12,,,,,,30,47,44,59,91,90,63,12,80,51,80,66
49,19,61,84,49,77,62,60,35,77,90,72,,,,,,49,61,19,62,35,60,77,72,90,84,49,77
68,60,71,93,54,63,40,50,54,62,70,52,,,,,,68,71,60,40,54,50,62,52,70,93,54,63
71,74,68,33,46,79,89,100,54,25,40,100,,,,,,71,68,74,89,54,110,25,102,40,33,46,79
29,3,51,56,62,79,55,70,37,98,100,58,,,,,,29,51,3,55,37,70,98,58,120,56,62,79
77,80,16,77,45,31,42,50,78,39,60,30,,,,,,77,16,80,42,78,50,39,30,60,77,45,31
