class,eng,jpn,math,eng*,jpn*,math*,,,,,,(english_dummy_A),(math_dummy_A),(japanese_dummy_A),(english_dummy_B),(math_dummy_B),(japanese_dummy_B),(english_dummy_C),(math_dummy_C),(japanese_dummy_C),(eng*_dummy_A),(math*_dummy_A),(jpn*_dummy_A)
A,33,65,56,85,36,53,,,,,,33,56,65,58,19,30,59,50,43,85,36,53
A,62,91,73,100,82,100,,,,,,62,73,91,85,58,54,63,41,46,112,82,102
A,33,99,59,82,50,96,,,,,,33,59,99,80,79,69,70,54,59,82,50,96
A,32,28,80,67,74,32,,,,,,32,80,28,22,46,8,61,32,58,67,74,32
A,43,71,57,100,37,57,,,,,,43,57,71,36,51,44,33,31,15,103,37,57
A,60,55,56,36,77,23,,,,,,60,56,55,-4,54,14,55,44,28,36,77,23
A,43,18,100,64,55,63,,,,,,43,112,18,41,66,22,70,40,51,64,55,63
A,28,9,88,77,73,83,,,,,,28,88,9,69,47,46,36,76,18,77,73,83
A,37,73,67,77,57,79,,,,,,37,67,73,67,11,43,61,78,32,77,57,79
A,50,73,86,69,49,100,,,,,,50,86,73,101,76,67,38,80,23,69,49,112
A,46,40,53,82,69,53,,,,,,46,53,40,46,69,51,82,55,61,82,69,53
A,57,47,47,63,51,100,,,,,,57,47,47,94,74,73,63,32,32,63,51,104
A,53,38,44,59,64,35,,,,,,53,44,38,22,89,21,66,67,57,59,64,35
A,82,100,43,62,94,74,,,,,,82,43,112,73,44,52,52,68,33,62,94,74
A,33,52,58,63,84,99,,,,,,33,58,52,79,88,68,60,91,35,63,84,99
A,64,62,66,74,47,100,,,,,,64,66,62,97,47,89,53,99,37,74,47,105
A,59,59,67,70,15,100,,,,,,59,67,59,89,47,84,61,45,42,70,15,117
A,83,87,68,71,69,64,,,,,,83,68,87,51,104,44,66,66,44,71,69,64
A,85,100,85,36,51,100,,,,,,85,85,110,84,33,78,59,44,43,36,51,109
A,52,63,47,34,73,61,,,,,,52,47,63,57,52,50,45,52,0,34,73,61
A,78,88,24,100,27,41,,,,,,78,24,88,29,76,2,37,58,32,107,27,41
A,58,64,48,62,22,76,,,,,,58,48,64,72,67,52,86,68,79,62,22,76
A,55,44,8,63,64,68,,,,,,55,8,44,60,68,56,60,69,55,63,64,68
A,48,61,40,79,86,76,,,,,,48,40,61,69,76,44,64,84,23,79,86,76
A,15,11,69,28,40,100,,,,,,15,69,11,86,54,84,80,62,62,28,40,101
A,28,38,69,42,58,74,,,,,,28,69,38,55,70,25,52,16,42,42,58,74
A,40,47,36,56,69,45,,,,,,40,36,47,37,72,9,71,87,48,56,69,45
A,93,79,40,84,51,100,,,,,,93,40,79,85,64,75,60,33,39,84,51,111
A,83,82,71,77,88,66,,,,,,83,71,82,54,45,29,74,63,43,77,88,66
A,39,40,56,82,77,59,,,,,,39,56,40,63,42,42,53,43,47,82,77,59
A,77,98,48,62,29,67,,,,,,77,48,98,39,-10,28,70,57,47,62,29,67
A,61,38,69,48,58,100,,,,,,61,69,38,69,32,41,90,34,63,48,58,109
A,80,89,49,65,28,73,,,,,,80,49,89,43,63,32,49,63,24,65,28,73
A,74,71,67,24,37,78,,,,,,74,67,71,63,60,36,64,31,54,24,37,78
A,57,45,100,59,62,66,,,,,,57,112,45,50,48,39,62,59,40,59,62,66
A,84,79,70,99,44,100,,,,,,84,70,79,81,31,54,64,57,29,99,44,101
A,76,100,81,66,69,95,,,,,,76,81,100,74,34,49,62,31,33,66,69,95
A,66,57,63,73,55,84,,,,,,66,63,57,103,31,64,80,53,55,73,55,84
A,43,59,65,38,79,70,,,,,,43,65,59,61,78,46,52,104,28,38,79,70
A,34,65,54,99,60,53,,,,,,34,54,65,39,68,29,58,63,31,99,60,53
A,54,70,75,80,57,86,,,,,,54,75,70,58,47,37,36,12,15,80,57,86
A,43,63,94,58,65,60,,,,,,43,94,63,50,64,37,58,84,23,58,65,60
A,71,92,41,48,40,49,,,,,,71,41,92,53,65,37,80,19,53,48,40,49
A,35,20,48,55,84,70,,,,,,35,48,20,33,95,29,61,62,39,55,84,70
A,56,54,37,30,81,75,,,,,,56,37,54,81,50,54,59,84,20,30,81,75
A,93,100,45,73,52,58,,,,,,93,45,100,53,68,40,38,52,15,73,52,58
A,65,48,72,81,75,93,,,,,,65,72,48,75,74,48,58,87,43,81,75,93
A,74,37,65,49,45,92,,,,,,74,65,37,77,59,56,53,8,17,49,45,92
A,49,41,34,75,80,81,,,,,,49,34,41,73,71,55,74,57,46,75,80,81
A,75,100,83,55,49,78,,,,,,75,83,109,62,64,62,73,62,61,55,49,78
A,98,100,47,51,50,62,,,,,,98,47,109,56,40,35,92,42,53,51,50,62
A,73,86,72,77,62,90,,,,,,73,72,86,83,24,70,73,55,55,77,62,90
A,63,88,65,65,63,89,,,,,,63,65,88,65,23,55,69,63,34,65,63,89
A,95,87,39,40,46,71,,,,,,95,39,87,69,57,76,31,76,13,40,46,71
A,55,72,81,50,41,85,,,,,,55,81,72,80,76,65,79,28,64,50,41,85
A,80,98,29,100,96,100,,,,,,80,29,98,92,36,70,42,60,28,104,96,108
A,39,52,44,56,57,84,,,,,,39,44,52,62,56,51,28,41,10,56,57,84
A,78,71,80,98,72,47,,,,,,78,80,71,14,72,4,44,26,30,98,72,47
A,76,71,39,70,23,54,,,,,,76,39,71,51,51,47,61,97,31,70,23,54
A,54,68,100,69,77,69,,,,,,54,117,68,52,77,18,72,88,61,69,77,69
A,45,61,56,55,81,43,,,,,,45,56,61,51,28,32,57,72,48,55,81,43
A,45,73,79,96,59,70,,,,,,45,79,73,66,30,58,37,70,2,96,59,70
A,59,89,42,83,82,90,,,,,,59,42,89,58,56,29,83,74,57,83,82,90
A,67,78,55,64,18,70,,,,,,67,55,78,52,62,31,29,57,36,64,18,70
A,54,67,44,75,91,29,,,,,,54,44,67,32,66,25,78,97,51,75,91,29
A,70,100,66,37,16,100,,,,,,70,66,108,88,103,59,79,53,54,37,16,115
A,79,100,69,55,38,58,,,,,,79,69,105,43,64,25,43,45,24,55,38,58
A,48,56,45,55,87,100,,,,,,48,45,56,101,52,69,88,68,69,55,87,104
A,48,61,57,57,47,53,,,,,,48,57,61,41,32,35,74,36,72,57,47,53
A,79,100,57,86,75,30,,,,,,79,57,121,16,32,-9,61,66,28,86,75,30
A,60,26,61,100,42,100,,,,,,60,61,26,87,52,84,58,51,29,100,42,113
A,48,37,79,70,29,76,,,,,,48,79,37,84,46,59,37,51,16,70,29,76
A,51,29,44,55,81,78,,,,,,51,44,29,69,44,59,53,83,33,55,81,78
A,45,100,51,91,72,64,,,,,,45,51,104,42,129,14,14,60,11,91,72,64
A,68,53,88,64,19,75,,,,,,68,88,53,60,45,34,59,38,47,64,19,75
A,78,68,58,66,40,81,,,,,,78,58,68,69,82,56,41,61,14,66,40,81
A,87,100,29,75,92,73,,,,,,87,29,122,74,28,57,87,97,63,75,92,73
